userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,hybrid_sentiment,emotion_raw,emotion,emotion_conf,topic,topic_conf,intent,intent_conf,urgency,urgency_conf,sent_score,emo_score,intent_score,topic_score,urgency_norm,score_norm,score_risk,thumbs_norm,keyword_score,triage_score_heuristic,triage_label_heuristic,triage_label_heuristic_name,metadata_score,triage_score_weaksup,triage_label_weaksup,triage_label_weaksup_name
User_0,,Good,5,0,4.556.10005,2024-12-18 17:17:19,,,4.556.10005,2,neutral,4,0.4931049644947052,7,0.1564144641160965,0,0.2133142799139022,0,0.2223876714706421,0.0,0.4,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.16000000000000003,0,no triage needed,0.0,0.12000000000000002,0,no triage needed
User_1,,Nice,5,0,4.556.10005,2024-12-18 17:17:17,,,4.556.10005,2,neutral,4,0.7700195908546448,7,0.1667981296777725,5,0.175249308347702,0,0.1857140660285949,0.0,0.4,0.6,0.2,0.0,1.0,0.0,0.0,0.0,0.24,0,no triage needed,0.0,0.2,0,no triage needed
User_2,,Very convenient,5,0,4.532.10001,2024-12-18 17:09:42,,,4.532.10001,2,neutral,4,0.6544440984725952,3,0.2459559440612793,3,0.1298591345548629,1,0.1824439615011215,0.0,0.4,1.0,0.7,0.25,1.0,0.0,0.0,0.0,0.3950000000000001,1,standard review,0.0,0.3175,1,standard review
User_3,,Good,4,0,4.556.10005,2024-12-18 17:08:27,,,4.556.10005,2,neutral,4,0.4931049644947052,7,0.1564144641160965,0,0.2133142799139022,0,0.2223876714706421,0.0,0.4,0.2,0.2,0.0,0.75,0.25,0.0,0.0,0.16000000000000003,0,no triage needed,0.1875,0.13875000000000004,0,no triage needed
User_4,,exllence,5,0,4.556.10005,2024-12-18 17:08:16,,,4.556.10005,1,neutral,4,0.909090220928192,5,0.1479419767856598,0,0.2142665088176727,0,0.1520552337169647,0.5,0.4,0.2,0.3,0.0,1.0,0.0,0.0,0.0,0.3450000000000001,1,standard review,0.0,0.24500000000000002,0,no triage needed
User_5,,Michelle was a very friendly and personable person. Very polite!!,5,0,4.556.10005,2024-12-18 17:06:09,,,4.556.10005,2,joy,1,0.4662412405014038,5,0.1394530236721038,1,0.1421810686588287,2,0.1428202241659164,0.0,0.0,0.5,0.3,0.5,1.0,0.0,0.0,0.0,0.18,0,no triage needed,0.0,0.175,0,no triage needed
User_6,,Bast price pr car available,5,0,4.556.10005,2024-12-18 17:06:04,,,4.556.10005,2,neutral,4,0.8485869765281677,6,0.2852143347263336,2,0.2737564444541931,1,0.0907264947891235,0.0,0.4,0.7,0.8,0.25,1.0,0.0,0.0,0.0,0.34500000000000003,1,standard review,0.0,0.2575,0,no triage needed
User_7,,Good service,5,0,4.556.10005,2024-12-18 17:05:20,,,4.556.10005,2,neutral,4,0.8539659380912781,7,0.3862250447273254,3,0.3881595432758331,0,0.238125666975975,0.0,0.4,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.32000000000000006,1,standard review,0.0,0.28,0,no triage needed
User_8,,Awesome,5,0,4.556.10005,2024-12-18 17:05:10,,,4.556.10005,2,joy,1,0.4472196400165558,7,0.2159805297851562,5,0.1372595578432083,0,0.1624748408794403,0.0,0.0,0.6,0.2,0.0,1.0,0.0,0.0,0.0,0.14,0,no triage needed,0.0,0.12,0,no triage needed
User_9,,Nice 🙂🙂🙂🙂🙂,5,0,4.556.10005,2024-12-18 17:04:02,,,4.556.10005,2,joy,1,0.4766150414943695,4,0.1370586454868316,0,0.1162726059556007,0,0.1462606787681579,0.0,0.0,0.2,0.5,0.0,1.0,0.0,0.0,0.0,0.09000000000000001,0,no triage needed,0.0,0.04000000000000001,0,no triage needed
User_10,,"Never using uber again in Europe, thry charged me twice for trips I didn't take, it is not safe to add your credit card, be aware",1,0,,2024-12-18 16:56:33,,,,0,sadness,7,0.5356051325798035,0,0.2896868288516998,0,0.1531700193881988,1,0.107548251748085,1.0,0.9,0.2,0.4,0.25,0.0,1.0,0.0,1.0,0.68,2,urgent investigation,0.75,0.6825000000000001,2,urgent investigation
User_11,,Nice app,5,0,4.556.10005,2024-12-18 16:52:41,,,4.556.10005,2,neutral,4,0.6035300493240356,4,0.4507705271244049,4,0.39299076795578,0,0.1319821178913116,0.0,0.4,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.35000000000000003,1,standard review,0.0,0.28,0,no triage needed
User_12,,"muita demora para achar uma corrida, e depois de muita demora selecionam um motorista longe e se cancelamos porque vai demorar muito ainda pagamos taxa.",3,0,4.556.10005,2024-12-18 16:44:38,,,4.556.10005,0,anger,6,0.3778590857982635,2,0.1394590884447097,1,0.1000301018357276,2,0.115772359073162,1.0,1.0,0.5,0.6,0.5,0.5,0.5,0.0,0.0,0.81,3,immediate investigation,0.375,0.6625,2,urgent investigation
User_13,,"It's been 8 months for now & this app is getting worse day by day. 1. When I click on ""call driver"" button, it display error page. WHY? 2. The driver himself is not able to callback due to app issues. 3. Everytime I open app, it asks for phone no. & things(despite of me already being logged in) 4. App hangs multiple times (despite being updated, cache clear, full sim range)",1,0,4.556.10005,2024-12-18 16:44:08,,,4.556.10005,0,disgust,8,0.3106094598770141,4,0.2606788575649261,4,0.4768889248371124,4,0.2981104254722595,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.9500000000000001,3,immediate investigation,0.75,0.9750000000000001,3,immediate investigation
User_14,,Customer care doesn't exist,1,0,4.556.10005,2024-12-18 16:40:33,,,4.556.10005,0,neutral,4,0.8874719738960266,7,0.5729669332504272,0,0.3466916680335998,4,0.1916902661323547,1.0,0.4,0.2,0.2,1.0,0.0,1.0,0.0,0.0,0.61,2,urgent investigation,0.75,0.595,2,urgent investigation
User_15,,Your location services are horrible please fix it,1,0,4.556.10005,2024-12-18 16:40:30,,,4.556.10005,0,fear,5,0.5897374153137207,7,0.1989450454711914,3,0.4105490446090698,1,0.2355401366949081,1.0,0.5,1.0,0.2,0.25,0.0,1.0,0.0,0.0,0.7200000000000001,2,urgent investigation,0.75,0.6625000000000001,2,urgent investigation
User_16,,Good,5,0,,2024-12-18 16:38:31,,,,2,neutral,4,0.4931049644947052,7,0.1564144641160965,0,0.2133142799139022,0,0.2223876714706421,0.0,0.4,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.16000000000000003,0,no triage needed,0.0,0.12000000000000002,0,no triage needed
User_17,,Very laye and herd settings,2,0,4.556.10005,2024-12-18 16:36:48,,,4.556.10005,0,neutral,4,0.94541734457016,4,0.1512437164783477,6,0.1680697053670883,0,0.1953185498714447,1.0,0.4,0.8,0.5,0.0,0.25,0.75,0.0,0.0,0.66,2,urgent investigation,0.5625,0.54625,1,standard review
User_18,,"Quote you one price and charge you another (higher) price, for trips booked in advance",1,0,4.556.10005,2024-12-18 16:32:42,,,4.556.10005,0,neutral,4,0.8504120111465454,0,0.433672159910202,2,0.4231466054916382,1,0.1988777220249176,1.0,0.4,0.7,0.4,0.25,0.0,1.0,0.0,0.0,0.655,2,urgent investigation,0.75,0.5825,2,urgent investigation
User_19,,"Today one horrible experience I faced ...I booked one Uber go for one operation patient drop off...but after 20mins waiting driver named Tarun sarker forced me to cancel my ride...I requested him several times telling the condition of my operation patient...he tell rudely ""apni ja paren Amar korun ami jabona"" and forced me to cancel the trip.what type of nonsense behavior is this? I never expect such type of rude behavior from Uber drivers.",1,0,4.556.10005,2024-12-18 16:32:05,,,4.556.10005,0,fear,5,0.7517002820968628,5,0.3698869049549103,3,0.3281856775283813,4,0.2051219493150711,1.0,0.5,1.0,0.3,1.0,0.0,1.0,0.0,0.0,0.805,3,immediate investigation,0.75,0.7750000000000001,3,immediate investigation
User_20,,Quick and reliable.,5,0,4.556.10005,2024-12-18 16:29:26,,,4.556.10005,2,neutral,4,0.9370983242988586,3,0.2936080992221832,5,0.2895204722881317,0,0.2278887033462524,0.0,0.4,0.6,0.7,0.0,1.0,0.0,0.0,0.0,0.29,0,no triage needed,0.0,0.2,0,no triage needed
User_21,,Super rides with reasonable amount,5,0,4.556.10005,2024-12-18 16:26:30,,,4.556.10005,2,neutral,4,0.8239359259605408,6,0.2391106188297271,5,0.1761301755905151,1,0.116189457476139,0.0,0.4,0.6,0.8,0.25,1.0,0.0,0.0,0.0,0.32500000000000007,1,standard review,0.0,0.23750000000000002,0,no triage needed
User_22,,Amazing application,5,0,4.556.10005,2024-12-18 16:25:10,,,4.556.10005,2,surprise,3,0.7700182199478149,4,0.4163773357868194,4,0.3581042289733886,3,0.249079942703247,0.0,0.3,1.0,0.5,0.75,1.0,0.0,0.0,0.0,0.4,1,standard review,0.0,0.3725,1,standard review
User_23,,Supre app,5,0,,2024-12-18 16:24:43,,,,1,neutral,4,0.9468709230422974,4,0.2975429594516754,4,0.2737792134284973,3,0.039716113358736,0.5,0.4,1.0,0.5,0.75,1.0,0.0,0.0,0.0,0.6000000000000001,2,urgent investigation,0.0,0.5175000000000001,1,standard review
